01/03/2017;SUPER VEA 980;211,11;;40258,99
01/03/2017;CAFE DEL TIEMPO;252;;40006,99
01/03/2017;SUPER VEA 980;510,45;;39496,54
01/03/2017;CENTRO DE SERV. EL PAR;300;;39196,54
01/03/2017;LA CJA DE JUBILAC P MEDI REC;1593;;37603,54
02/03/2017;CLARO EQUIPOS;278,94;;37324,6
03/03/2017;CABLEVISION SA;1416;;35908,6
03/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;1695,75;37604,35
03/03/2017;COLEGIO DE MEDICOS REC;330;;37274,35
03/03/2017;14642 - CMS FOCOM - DA;437,5;;36836,85
03/03/2017;14642 - CMS FOCOM - DA;380;;36456,85
03/03/2017;14642 - CMS FOCOM - DA;25;;36431,85
03/03/2017;14642 - CMS FOCOM - DA;300;;36131,85
03/03/2017;RETENCION ING BRUTOS SALTA;16,96;;36114,89
06/03/2017;JACARANDA;400;;35714,89
06/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;1699,51;37414,4
06/03/2017;RETENCION ING BRUTOS SALTA;17;;37397,4
07/03/2017;SERVISUR SRL;400;;36997,4
10/03/2017;EL PRADO ECO VILLAGE;1500;;35497,4
10/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;1072,31;36569,71
10/03/2017;RETENCION ING BRUTOS SALTA;10,72;;36558,99
13/03/2017;SUPER VEA 980;413,87;;36145,12
17/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;27010,4;63155,52
17/03/2017;RETENCION ING BRUTOS SALTA;270,1;;62885,42
23/03/2017;RETIRO CAJ.AH.;5000;;57885,42
23/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;14135,43;72020,85
23/03/2017;RETENCION ING BRUTOS SALTA;141,35;;71879,5
28/03/2017;TRATM NEOFENIX/ OT 30714494755 HON;;23960;95839,5
28/03/2017;RETENCION ING BRUTOS SALTA;239,6;;95599,9
29/03/2017;CLARO EQUIPOS;279,56;;95320,34
31/03/2017;C15974-CIRC MEDICO SALTA-HONORA;;700,6;96020,94
31/03/2017;DB TARJETA DE CREDITO VISA;3858,74;;92162,2
31/03/2017;CAPITALIZACION AH;;12,4;92174,6
31/03/2017;RETENCION ING BRUTOS SALTA;7,01;;92167,59
