03/01/2017;CR INTERDEPOSITO EN EFECTIVO CA Suc.:114;;13500;18991,92
03/01/2017;RET. ING. BRUTOS SIRCREB Suc.:811;108;;18883,92
03/01/2017;RET IIBB TUCUMAN Suc.:140;8,1;;18875,82
04/01/2017;RETIRO CAJ.AH. Suc.:114;1000;;17875,82
06/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;15875,82
06/01/2017;COMISION CAJERO AUT. BANELCO OTRO BCOÿÿÿ;11,05;;15864,77
06/01/2017;  DEBITO FISCAL IVA BASICO;2,32;;15862,45
10/01/2017;EXTRACCION CAJERO AUTOMATICO;1000;;14862,45
11/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;12862,45
16/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;10862,45
16/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;8862,45
16/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;6862,45
23/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;4862,45
23/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;2862,45
24/01/2017;RETIRO CPRA/VTA M.EXT;16300;;-13437,55
24/01/2017;CR TRANSF $ MISMA TITUL MD;;16500;3062,45
25/01/2017;EXTRACCION CAJERO AUTOMATICO;2000;;1062,45
25/01/2017;EXTRACCION CAJERO AUTOMATICO;200;;862,45
25/01/2017;EXTRACCION CAJERO AUTOMATICO;800;;62,45
27/01/2017;CAPITALIZACION AH;;3,37;65,82
30/01/2017;COMISION MANT. TARJETA DEBITO ADICIONAL;9,1;;56,72
30/01/2017;  DEBITO FISCAL IVA BASICO;1,91;;54,81
30/01/2017;CR TRANSF $ MISMA TITUL MD;;15000;15054,81
